"start","end","PAGOSA SPRINGS 1SE","Aztec Ruins Nation_NM","Bloomfield 3 SE_NM"
1928,1929,40.519998550415,27.460000038147,19.0199999809265
1929,1930,197.909996032715,70.9599990844727,66.2099986076355
1930,1931,123.579999685287,42.9800002574921,38.3200006484985
1931,1932,111.74000287056,48.5600010752678,55.3400001525879
1932,1933,349.36999130249,139.809997558594,137.090003967285
1933,1934,101.689998626709,37.4300003051758,45.5900001525879
1934,1935,106.470000743866,49.5600003004074,53.3000009059906
1935,1936,175.860000610352,96.4099998474121,90.3599996566772
1936,1937,130.580001831055,78.1500000953674,70.7999997138977
1937,1938,160.200000762939,102.659999847412,84.9700012207031
1938,1939,125.710000038147,62.4599995613098,50.4500009417534
1939,1940,135.729999542236,67.6400003433228,54.4899988174438
1940,1941,130.260000228882,104.64999961853,83.7999982833862
1941,1942,217.629997253418,176.140003204346,148.459999084473
1942,1943,101.150000572205,67.5699987411499,65.2300016880035
1943,1944,149.400003910065,65.3199996948242,44.5300000905991
1944,1945,141.85000038147,84.8299999237061,66.7699995040894
1945,1946,133.800003051758,98.5700035095215,75.9999980926514
1946,1947,59.5300004482269,39.1199995279312,27.0299994945526
1947,1948,118.559997558594,49.9199991226196,41.0899987220764
1948,1949,155.199997901917,79.9400005340576,69.4000020027161
1949,1950,212.360002040863,102.160000324249,63.5700016021729
1950,1951,126.400003433228,50.0199998021126,29.5699996948242
1951,1952,104.879999160767,44.5699994564056,31.7899996936321
1952,1953,262.999995231628,119.299999237061,77.4000005722046
1953,1954,123.409997940063,68.0799984931946,60.0799999237061
1954,1955,107.379997730255,45.8600003812462,42.419999808073
1955,1956,101.180000305176,60.460000038147,44.4600002765656
1956,1957,239.000001907349,84.9099969863892,67.6399993896484
1957,1958,233.179999828339,82.3300013542175,56.1700007915497
1958,1959,173.520000457764,91.3800010681152,68.2399988174438
1959,1960,85.2799987792969,33.4200005531311,27.8199996948242
1960,1961,177.880000114441,98.5,64.5700006484985
1961,1962,103.469999313354,67.9500007629395,53.9600002765656
1962,1963,147.270002365112,82.2199993133545,67.6100006103516
1963,1964,169.989999771118,75.689998626709,64.1300001144409
1964,1965,68.2400007247925,35.3000001907349,27.6899998188019
1965,1966,234.619998931885,117.599998474121,92.0099983215332
1966,1967,214.680006027222,98.8899984359741,81.3300008773804
1967,1968,184.160001754761,84.0499980449677,57.0999984741211
1968,1969,128.790001869202,65.0899987220764,49.720000743866
1969,1970,228.179996490479,108.270001411438,85.1500005722046
1970,1971,56.1600008010864,42.5699996948242,32.4399993419647
1971,1972,113.290002822876,54.5300006866455,39.210000038147
1972,1973,116.159996986389,52.3999989032745,36.6800006628036
1973,1974,163.199996948242,86.6200008392334,77.4900007247925
1974,1975,152.289995670319,82.5899991989136,58.2600004673004
1975,1976,158.880001068115,75.4199991226196,67.2699999809265
1976,1977,155.509998321533,62.6399998664856,42.7299993038177
1977,1978,47.0400018692017,28.9999995231628,27.4199995994568
1978,1979,170.589998245239,129.61999797821,100.489999771118
1979,1980,339.67000579834,178.979997634888,140.330001831055
1980,1981,277.890003204346,161.540000915527,148.099998474121
1981,1982,51.4900002479553,25.7299993038177,20.8300001621246
1982,1983,192.75,70.7000000476837,52.5199989676476
1983,1984,167.98999786377,118.489999771118,89.8699979782104
1984,1985,206.099999427795,87.5499987602234,63.039999961853
1985,1986,132.699998855591,84.5799989700317,47.5000009536743
1986,1987,157.009997606277,88.3099985122681,79.9100016355515
1987,1988,214.940002441406,199.769998550415,139.020000457764
1988,1989,192.589996337891,119.639999389648,111.579999923706
1989,1990,178.809997558594,127.020002365112,61.210000038147
1990,1991,48.2899994943291,32.6700006127357,28.2799997329712
1991,1992,154.91999912262,85.9100003242493,42.669998884201
1992,1993,216.829999923706,112.440001487732,75.32000207901
1993,1994,316.409992218018,159.379998683929,110.770000696182
1994,1995,151.829999923706,53.2899994850159,36.789999961853
1995,1996,202.749998092651,99.6999998092651,63.9699993133545
1996,1997,106.510000228882,37.1499993801117,36.8800005912781
1997,1998,258.810005187988,99.0100011825562,76.529999256134
1998,1999,127.749998092651,70.7299995422363,39.5299991369247
1999,2000,116.659999389201,63.7999987602234,54.0699988007545
2000,2001,78.769998550415,26.9399993419647,23.4399998188019
2001,2002,180.179996490479,62.7799997329712,71.0499988794327
2002,2003,64.7400002479553,24.6799993515015,22.6899997591972
2003,2004,219.289994716644,99.3599977493286,93.3699992001057
2004,2005,210.619995117188,73.3599979877472,67.5500011444092
2005,2006,255.160001754761,153.329999923706,156.190001487732
2006,2007,43.8500003814697,20.719999819994,18.7200004458427
2007,2008,108.510000228882,56.6099998950958,50.3499994874001
2008,2009,332.579999923706,162.660001754761,112.589998483658
2009,2010,176.660001754761,79.189998626709,63.5199990272522
2010,2011,224.500001907349,110.420000076294,90.8000001907349
2011,2012,145.710002422333,53.7499990463257,39.4900005161762
2012,2013,146.180004119873,85.4999980926514,55.789999961853
2013,2014,163.649997711182,83.7200002670288,68.1799993515015
